"","Date","Time","Location","Operator","Flight #","Route","Type","Registration","Aboard","Fatalities","Ground","Summary","Manufacturer","SurvivorToFatalitiesRatio","DeathRatePercentage"
"25","10/02/1919","Unknown time","England","Aircraft Transport and Travel","Unknown Flight #","Unknown Route","De Havilland DH-4","Unknown Registration",1.00,1.00,0.00,"No information on how the accident occured","De",1.00,100
"26","10/14/1919","Unknown time","Maryland","US Aerial Mail Service","Unknown Flight #","Unknown Route","Curtiss R-4LM","32",1.00,1.00,0.00,"No information on how the accident occured","Curtiss",1.00,100
"27","10/20/1919","Unknown time","English Channel","Aircraft Transport and Travel","Unknown Flight #","Unknown Route","De Havilland DH-4","G-EAHG",27.55,20.07,1.61,"No information on how the accident occured","De",0.73,73
"28","10/30/1919","Unknown time","New Jersey","US Aerial Mail Service","Unknown Flight #","Unknown Route","De Havilland DH.4","77",1.00,1.00,0.00,"No information on how the accident occured","De",1.00,100
"29","03/10/1920","Unknown time","Indiana","US Aerial Mail Service","Unknown Flight #","Unknown Route","De Havilland DH-4","65",1.00,1.00,0.00,"No information on how the accident occured","De",1.00,100
"30","03/30/1920","Unknown time","New Jersey","US Aerial Mail Service","Unknown Flight #","Unknown Route","De Havilland DH-4","72",1.00,1.00,0.00,"No information on how the accident occured","De",1.00,100
"31","04/10/1920","Unknown time","New Jersey","US Aerial Mail Service","Unknown Flight #","Unknown Route","Curtiss R-4LM","49",2.00,1.00,0.00,"No information on how the accident occured","Curtiss",0.50,50
"32","04/11/1920","Unknown time","New Jersey","US Aerial Mail Service","Unknown Flight #","Unknown Route","Curtiss JN-4H","44",2.00,1.00,0.00,"No information on how the accident occured","Curtiss",0.50,50
"33","05/12/1920","Unknown time","Iowa","US Aerial Mail Service","Unknown Flight #","Unknown Route","De Havilland DH-4","79",2.00,1.00,0.00,"No information on how the accident occured","De",0.50,50
"34","06/06/1920","Unknown time","Ohio","US Aerial Mail Service","Unknown Flight #","Unknown Route","De Havilland DH-4","204",1.00,1.00,0.00,"No information on how the accident occured","De",1.00,100
"35","08/16/1920","Unknown time","England","By Air","Unknown Flight #","Unknown Route","Armstrong-Whitworth F-K-8","G-EALW",1.00,1.00,0.00,"No information on how the accident occured","Armstrong",1.00,100
"36","08/16/1920","Unknown time","Maryland","US Aerial Mail Service","Unknown Flight #","Unknown Route","De Havilland DH-4","317",1.00,1.00,0.00,"No information on how the accident occured","De",1.00,100
"37","09/01/1920","Unknown time","New Jersey","US Aerial Mail Service","Unknown Flight #","Unknown Route","Junkers JL-6","305",2.00,2.00,0.00,"No information on how the accident occured","Junkers",1.00,100
"38","09/15/1920","Unknown time","Ohio","US Aerial Mail Service","Unknown Flight #","Unknown Route","Junkers F-13","308",2.00,2.00,0.00,"No information on how the accident occured","Junkers",1.00,100
"39","09/27/1920","Unknown time","Pennsylvania","US Aerial Mail Service","Unknown Flight #","Unknown Route","De Havilland DH-4","316",1.00,1.00,0.00,"No information on how the accident occured","De",1.00,100
"40","10/02/1920","Unknown time","France","Latecoere Airlines","Unknown Flight #","Unknown Route","Salmson 2-A-2","F-ALAI",2.00,2.00,0.00,"No information on how the accident occured","Salmson",1.00,100
"41","10/05/1920","Unknown time","Spain","Latecoere Airlines","Unknown Flight #","Unknown Route","Breguet 14","F-ALTA",2.00,2.00,0.00,"Crashed while landing.","Breguet",1.00,100
"42","10/15/1920","Unknown time","Illinois","US Aerial Mail Service","Unknown Flight #","Unknown Route","De Havilland DH-4","76",1.00,1.00,0.00,"No information on how the accident occured","De",1.00,100
"43","11/07/1920","Unknown time","Wyoming","US Aerial Mail Service","Unknown Flight #","Unknown Route","De Havilland DH-4","Unknown Registration",1.00,1.00,0.00,"No information on how the accident occured","De",1.00,100
"44","12/14/1920","Unknown time","England","Handley Page Transport","Unknown Flight #","Unknown Route","Handley Page HP-16","G-EAMA",8.00,4.00,0.00,"Crashed into a tree on take off in fog.","Handley",0.50,50
"45","12/24/1920","Unknown time","Spain","Aeropostale","Unknown Flight #","Unknown Route","Breguet 14","F-ALBO",1.00,1.00,0.00,"No information on how the accident occured","Breguet",1.00,100
"46","02/03/1921","Unknown time","Minnisota","US Aerial Mail Service","Unknown Flight #","Unknown Route","De Havilland DH-4","130",1.00,1.00,0.00,"No information on how the accident occured","De",1.00,100
"47","02/09/1921","Unknown time","Wisconsin","US Aerial Mail Service","Unknown Flight #","Unknown Route","Junkers F-13","301",3.00,3.00,0.00,"No information on how the accident occured","Junkers",1.00,100
"48","02/15/1921","Unknown time","Off Gibraltar","Aeropostale","Unknown Flight #","Unknown Route","Breguet 14","F-ALBA",2.00,2.00,0.00,"No information on how the accident occured","Breguet",1.00,100
"49","02/22/1921","Unknown time","Nevada","US Aerial Mail Service","Unknown Flight #","Unknown Route","De Havilland DH-4","67",1.00,1.00,0.00,"No information on how the accident occured","De",1.00,100
"50","04/06/1921","Unknown time","Australia","Military - Royal Australian Air Force","Unknown Flight #","Unknown Route","Unknown Type","H3021",2.00,1.00,0.00,"No information on how the accident occured","Unknown",0.50,50
"51","04/21/1921","Unknown time","NY","US Aerial Mail Service","Unknown Flight #","Unknown Route","De Havilland DH-4","160",1.00,1.00,0.00,"No information on how the accident occured","De",1.00,100
"52","04/29/1921","Unknown time","Ohio","US Aerial Mail Service","Unknown Flight #","Unknown Route","De Havilland DH-4","196",1.00,1.00,0.00,"No information on how the accident occured","De",1.00,100
"53","05/17/1921","Unknown time","Wyoming","US Aerial Mail Service","Unknown Flight #","Unknown Route","Unknown Type","176",1.00,1.00,0.00,"No information on how the accident occured","Unknown",1.00,100
"54","07/16/1921","Unknown time","California","US Aerial Mail Service","Unknown Flight #","Unknown Route","De Havilland DH-4","222",1.00,1.00,0.00,"No information on how the accident occured","De",1.00,100
"55","08/14/1921","Unknown time","France","Aeropostale","Unknown Flight #","Unknown Route","Breguet 14","F-ALBI",2.00,2.00,0.00,"No information on how the accident occured","Breguet",1.00,100
"56","08/24/1921","17:40","England","Military - Royal Airship Works","Unknown Flight #","Unknown Route","Royal Airship Works ZR-2 (airship)","R-38",46.00,46.00,1.00,"Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.","Royal",1.00,100
"57","09/06/1921","Unknown time","France","Franco-Roumaine","Unknown Flight #","Varsovie - Strasbourg - Paris","Potez IX","F-ADCD",5.00,5.00,0.00,"Crashed while making an approach to Le Bourget Airport in Paris.","Potez",1.00,100
"58","12/05/1921","Unknown time","Australia","West Australian Airways","Unknown Flight #","Unknown Route","Bristol 28 Tourer","G-AUDI",3.00,3.00,0.00,"No information on how the accident occured","Bristol",1.00,100
"59","01/14/1922","Unknown time","France","Handley Page Transport","Unknown Flight #","Unknown Route","Handley Page O/10","G-EATN",5.00,5.00,5.00,"Crashed at Le Bourget field.","Handley",1.00,100
"60","02/21/1922","Unknown time","Virginia","Military - U.S. Army Air Service","Unknown Flight #","Unknown Route","Dirigible Roma (airship)","Unknown Registration",45.00,34.00,0.00,"Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.","Dirigible",0.76,76
"61","04/07/1922","Unknown time","France","Daimler Airways / Grands Express Aeriens","Unknown Flight #","Unknown Route","de Havilland DH-18 / Farman F-60 Goliath","G-EAOW/FGEAD",7.00,7.00,0.00,"A midair collision occurred in poor visibility approximately 18 miles north of Beauvais, France. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.","de",1.00,100
"62","04/08/1922","Unknown time","China","Unknown Operator","Unknown Flight #","Unknown Route","Unknown Type","Unknown Registration",17.00,17.00,0.00,"All seventeen aboard were Chinese nationals.","Unknown",1.00,100
"63","04/13/1922","Unknown time","England","Vickers","Unknown Flight #","Unknown Route","Vickers Viking","G-EBBZ",3.00,3.00,0.00,"No information on how the accident occured","Vickers",1.00,100
"64","10/01/1925","Unknown time","Ohio","US Aerial Mail Service","Unknown Flight #","Unknown Route","De Havilland DH-4","385",1.00,1.00,0.00,"No information on how the accident occured","De",1.00,100
"65","06/03/1922","Unknown time","England","Cie des Messageries Aeriennes","Unknown Flight #","Unknown Route","Bleriot Spad 27","F-CMAY",3.00,3.00,0.00,"No information on how the accident occured","Bleriot",1.00,100
"66","07/26/1922","Unknown time","Spain","Grands Express Aeriens","Unknown Flight #","Unknown Route","Breguet 14","Unknown Registration",3.00,3.00,0.00,"No information on how the accident occured","Breguet",1.00,100
"67","09/07/1922","Unknown time","Indiana","US Aerial Mail Service","Unknown Flight #","Unknown Route","De Havilland DH-4","227",1.00,1.00,0.00,"No information on how the accident occured","De",1.00,100
"68","10/02/1922","Unknown time","Italy","Unknown Operator","Unknown Flight #","Unknown Route","de Havilland DH-9","G-EAYT",4.00,4.00,0.00,"No information on how the accident occured","de",1.00,100
"69","10/25/1922","Unknown time","Morocco","Grands Express Aeriens","Unknown Flight #","Unknown Route","Breguet 14","Unknown Registration",2.00,2.00,0.00,"No information on how the accident occured","Breguet",1.00,100
"70","12/03/1922","Unknown time","Morocco","Grands Express Aeriens","Unknown Flight #","Unknown Route","Breguet 14","Unknown Registration",1.00,1.00,0.00,"No information on how the accident occured","Breguet",1.00,100
"71","01/10/1923","Unknown time","France","Amee de l'Air","Unknown Flight #","Unknown Route","Lior<e9>-et-Olivier H-13","F-AEIB",4.00,3.00,0.00,"No information on how the accident occured","Lior",0.75,75
"72","01/17/1923","Unknown time","Spain","Grands Express Aeriens","Unknown Flight #","Unknown Route","Breguet 14","F-ALJU",1.00,1.00,0.00,"No information on how the accident occured","Breguet",1.00,100
"73","01/18/1923","Unknown time","Wyoming","US Aerial Mail Service","Unknown Flight #","Unknown Route","De Havilland DH-4","223",1.00,1.00,0.00,"No information on how the accident occured","De",1.00,100
"74","02/26/1923","Unknown time","Pennsylvania","US Aerial Mail Service","Unknown Flight #","Unknown Route","De Havilland DH-4","291",1.00,1.00,0.00,"No information on how the accident occured","De",1.00,100
"75","05/14/1923","Unknown time","France","Grands Express Aeriens","Unknown Flight #","Unknown Route","Farman F-60 Goliath","F-AEBY",6.00,6.00,0.00,"No information on how the accident occured","Farman",1.00,100
"76","08/27/1923","Unknown time","Romania","Campagnie France Roumaine","Unknown Flight #","Unknown Route","Bl<e9>riot Spad 46","F-AEGN",2.00,2.00,0.00,"No information on how the accident occured","Bl",1.00,100
"77","09/07/1923","Unknown time","Ohio","US Aerial Mail Service","Unknown Flight #","Unknown Route","De Havilland DH-4","283",1.00,1.00,0.00,"No information on how the accident occured","De",1.00,100
"78","09/14/1923","Unknown time","England","Daimler Airways","Unknown Flight #","Unknown Route","de Havilland DH-34","G-EBBS",6.00,6.00,0.00,"No information on how the accident occured","de",1.00,100
"79","11/18/1923","Unknown time","Russia","CCCP","Unknown Flight #","Unknown Route","Junkers F-13","D-257",4.00,2.00,0.00,"No information on how the accident occured","Junkers",0.50,50
"80","12/06/1923","Unknown time","Ohio","US Aerial Mail Service","Unknown Flight #","Unknown Route","De Havilland DH-4","318",1.00,1.00,0.00,"No information on how the accident occured","De",1.00,100
"81","12/23/1923","02:30","Over the Mediterranean Sea","Military - French Navy","Unknown Flight #","Toulon - Algiers","Zeppelin Dixmunde (airship)","L-72",52.00,52.00,0.00,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning.","Zeppelin",1.00,100
"82","12/24/1923","Unknown time","WY","US Aerial Mail Service","Unknown Flight #","Unknown Route","De Havilland DH-4","315",1.00,1.00,0.00,"No information on how the accident occured","De",1.00,100
"83","03/07/1924","Unknown time","Pennsylvania","US Aerial Mail Service","Unknown Flight #","Unknown Route","De Havilland DH-4","327",1.00,1.00,0.00,"No information on how the accident occured","De",1.00,100
"84","04/24/1924","Unknown time","Over the English Channel","KLM Royal Dutch Airlines","Unknown Flight #","Lympne, England - Rotterdam, The Netherlands","Fokker F.III","H-NABS",3.00,3.00,0.00,"No information on how the accident occured","Fokker",1.00,100
"85","06/08/1924","Unknown time","Colombia","SCADTA","Unknown Flight #","Unknown Route","Junkers F-13","A16",3.00,3.00,0.00,"No information on how the accident occured","Junkers",1.00,100
"86","08/01/1924","Unknown time","United States","US Aerial Mail Service","Unknown Flight #","Unknown Route","De Havilland DH-4","297",1.00,1.00,0.00,"No information on how the accident occured","De",1.00,100
"87","11/06/1924","Unknown time","France","Grands Express Aeriens","Unknown Flight #","Unknown Route","Unknown Type","F-AFBD",1.00,1.00,0.00,"No information on how the accident occured","Unknown",1.00,100
"88","12/21/1924","Unknown time","Indiana","US Aerial Mail Service","Unknown Flight #","Unknown Route","De Havilland DH-4","311",1.00,1.00,0.00,"No information on how the accident occured","De",1.00,100
"89","12/24/1924","Unknown time","England","Imperial Airways","Unknown Flight #","Unknown Route","de Havilland DH-34B","G-EBBX",8.00,8.00,0.00,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Fuel starvation. Captain Stewart and seven passengers were killed in an attempted forced landing.","de",1.00,100
"90","03/22/1925","Unknown time","USSR","Zakavia","Unknown Flight #","Unknown Route","Junkers F-13","R-RECA",5.00,5.00,0.00,"No information on how the accident occured","Junkers",1.00,100
"91","04/25/1925","Unknown time","Spain","Grands Express Aeriens","Unknown Flight #","Unknown Route","Breguet 14","Unknown Registration",4.00,4.00,0.00,"No information on how the accident occured","Breguet",1.00,100
"92","05/25/1925","Unknown time","Spain","Lignes Aeriennes Latecoere","Unknown Flight #","Unknown Route","Breguet 14","F-AFBB",2.00,2.00,0.00,"No information on how the accident occured","Breguet",1.00,100
"93","06/25/1925","Unknown time","France","KLM Royal Dutch Airlines","Unknown Flight #","Unknown Route","Fokker (KLM)  F.III","H-NABM",4.00,4.00,0.00,"Crashed in poor weather.","Fokker",1.00,100
"94","06/26/1925","Unknown time","Spain","Grands Express Aeriens","Unknown Flight #","Unknown Route","Lior<e9>-et-Olivier H-13","F-AHBH",2.00,2.00,0.00,"No information on how the accident occured","Lior",1.00,100
"95","07/20/1925","Unknown time","Spain","Lignes Aeriennes Latecoere","Unknown Flight #","Unknown Route","Breguet 14","F-AFBI",1.00,1.00,0.00,"No information on how the accident occured","Breguet",1.00,100
"96","07/24/1925","Unknown time","Hungary","CIDNA","Unknown Flight #","Unknown Route","Potez IX","Unknown Registration",1.00,1.00,0.00,"No information on how the accident occured","Potez",1.00,100
"97","09/03/1925","05:30","Ohio","Military - U.S. Navy","Unknown Flight #","Lakehurst, NJ - S.t Louis, MO","Dirigible ZR-1 Shenandoah (airship)","ZR-1",43.00,14.00,0.00,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmosphericonditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon.","Dirigible",0.33,33
"98","09/07/1925","Unknown time","France","CIDNA","Unknown Flight #","Unknown Route","Unknown Type","Unknown Registration",3.00,3.00,0.00,"No information on how the accident occured","Unknown",1.00,100
"99","11/14/1925","Unknown time","France","Air Union","Unknown Flight #","Unknown Route","Farman F-60 Goliath","F-AMFY",2.00,2.00,0.00,"No information on how the accident occured","Farman",1.00,100
"100","02/12/1926","Unknown time","Ohio","US Aerial Mail Service","Unknown Flight #","Unknown Route","Curtiss Carrier Pigeon","Unknown Registration",1.00,1.00,0.00,"No information on how the accident occured","Curtiss",1.00,100
"101","03/08/1926","Unknown time","Germany","Deutche Lufthansa","Unknown Flight #","Unknown Route","Junkers F-13","Unknown Registration",1.00,1.00,0.00,"No information on how the accident occured","Junkers",1.00,100
"102","05/31/1926","Unknown time","English Channel","Air Union","Unknown Flight #","Unknown Route","Breguet 14","F-ADAI",1.00,1.00,0.00,"No information on how the accident occured","Breguet",1.00,100
"103","07/03/1926","Unknown time","Czechoslovakia","Compagnie Internationale de Navigation A<e9>rienne","Unknown Flight #","Paris - Prague","Caudron C-61","F-AFBT",7.00,7.00,0.00,"Crashed while en route.","Caudron",1.00,100
"104","07/09/1926","Unknown time","Belgium","KLM Royal Dutch Airlines","Unknown Flight #","Unknown Route","Fokker F-4","H-NACC",2.00,2.00,0.00,"No information on how the accident occured","Fokker",1.00,100
"105","07/24/1926","Unknown time","Germany","Deutsche Lufthansa","Unknown Flight #","Unknown Route","Junkers F-13","D-272",4.00,4.00,0.00,"Weather related.","Junkers",1.00,100
"106","08/18/1926","Unknown time","England","Air Union","Unknown Flight #","Unknown Route","Bleriot 155","F-AIEB",4.00,4.00,0.00,"Crashed in adverse weather conditions.  Engine failure.","Bleriot",1.00,100
"107","09/26/1926","Unknown time","New York","Unknown Operator","Unknown Flight #","New York - Paris","Sikorsky S-25","Unknown Registration",5.00,2.00,0.00,"Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantipassenger flight.","Sikorsky",0.40,40
"108","10/08/1926","Unknown time","Germany","Deutsche Lufthansa","Unknown Flight #","Unknown Route","Fokker FG III","D-468",4.00,4.00,0.00,"Weather related.","Fokker",1.00,100
"109","10/21/1926","13:15","English Channel","Imperial Airways","Unknown Flight #","Unknown Route","Handley Page W-10","G-EBMS",12.00,0.00,0.00,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry.","Handley",0.00,0
"110","11/11/1926","Unknown time","Morocco","Grands Express Aeriens","Unknown Flight #","Unknown Route","Breguet 14","Unknown Registration",3.00,3.00,0.00,"No information on how the accident occured","Breguet",1.00,100
"111","12/16/1926","Unknown time","Oregon","PacifiAir Transport","Unknown Flight #","Unknown Route","Ryan M-1","2",1.00,1.00,0.00,"No information on how the accident occured","Ryan",1.00,100
"112","01/12/1927","Unknown time","France","KLM Royal Dutch Airlines","Unknown Flight #","Unknown Route","Fokker F-VII","H-NADH",2.00,2.00,0.00,"No information on how the accident occured","Fokker",1.00,100
"113","03/20/1927","Unknown time","Morocco","Grands Express Aeriens","Unknown Flight #","Unknown Route","Breguet 14","F-ALRA",1.00,1.00,0.00,"No information on how the accident occured","Breguet",1.00,100
"114","03/24/1927","Unknown time","Australia","Qantas","Unknown Flight #","Unknown Route","de Havilland DH-9C","G-AUED",3.00,3.00,0.00,"Stalled at low altitiude on approach to land","de",1.00,100
"115","04/15/1927","Unknown time","Idaho","Varney Air Lines","Unknown Flight #","Unknown Route","Unknown Type","Unknown Registration",1.00,1.00,0.00,"Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.","Unknown",1.00,100
"116","04/22/1927","Unknown time","Indiana","US Aerial Mail Service","Unknown Flight #","Unknown Route","Douglas M-4","626",1.00,1.00,0.00,"No information on how the accident occured","Douglas",1.00,100
"117","04/22/1927","Unknown time","Germany","Deutsche Lufthansa","Unknown Flight #","Unknown Route","Fokker FG III","D-729",2.00,2.00,0.00,"Engine failure.","Fokker",1.00,100
"118","05/02/1927","Unknown time","Algeria","Air Union","Unknown Flight #","Unknown Route","SPCA Meteore 63","Unknown Registration",3.00,1.00,0.00,"No information on how the accident occured","SPCA",0.33,33
"119","07/27/1927","Unknown time","Germany","Deutsche Lufthansa","Unknown Flight #","Unknown Route","Junkers F-13","D-206",5.00,5.00,0.00,"Engine failure.","Junkers",1.00,100
"120","08/22/1927","08:30","England","KLM Royal Dutch Airlines","Unknown Flight #","Croydon - Schiphol","Fokker F-VIII","Unknown Registration",11.00,1.00,0.00,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer.","Fokker",0.09,9
"121","09/03/1927","Unknown time","Connecticut","Colonial Air Transport","Unknown Flight #","Unknown Route","Fokker Universal","Unknown Registration",1.00,1.00,0.00,"No information on how the accident occured","Fokker",1.00,100
"122","09/17/1927","Unknown time","New Jersey","Reynolds Airways","Unknown Flight #","Sightseeing","Fokker F-VII","NC776",12.00,7.00,0.00,"The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.","Fokker",0.58,58
"123","09/22/1927","Unknown time","Germany","Deutsche Lufthansa","Unknown Flight #","Unknown Route","BFW M-18","D-1177",4.00,2.00,0.00,"Engine failure.","BFW",0.50,50
"124","09/23/1927","10:00","Germany","Deutsche Lufthansa","Unknown Flight #","Berlin - Munich","Dornier Merkur","D-585",6.00,6.00,0.00,"Broken wing strut.","Dornier",1.00,100
"125","10/06/1927","Unknown time","Mauritania","Lignes Aeriennes Latecoere","Unknown Flight #","Unknown Route","Breguet 14","F-AGBN",2.00,2.00,0.00,"No information on how the accident occured","Breguet",1.00,100
"126","10/30/1927","Unknown time","New Jersey","Colonial Air Transport","Unknown Flight #","Unknown Route","Fairchild FC-2","Unknown Registration",4.00,4.00,0.00,"Went into a tailspin and crashed into a corn field","Fairchild",1.00,100
"127","11/16/1927","Unknown time","France","CIDNA","Unknown Flight #","Unknown Route","Farman F-121 Jabiru","Unknown Registration",1.00,1.00,0.00,"No information on how the accident occured","Farman",1.00,100
"128","11/16/1927","Unknown time","Over the Gulf of Finland","Aero O-Y","Unknown Flight #","Unknown Route","Junkers F-13","K-SALD",6.00,6.00,0.00,"No information on how the accident occured","Junkers",1.00,100
"129","11/29/1927","Unknown time","Indiana","National Air Transport","Unknown Flight #","Unknown Route","Douglas M-4","Unknown Registration",1.00,1.00,0.00,"No information on how the accident occured","Douglas",1.00,100
"130","12/26/1927","Unknown time","Spain","Aeropostale","Unknown Flight #","Unknown Route","Breguet 14","Unknown Registration",2.00,2.00,0.00,"No information on how the accident occured","Breguet",1.00,100
